feature,max_abs_r,top_leak
days_since_last_cs,0.41927034487548015,has_vacancy_kw_code
n_cs_total,0.38728617086555456,has_vacancy_kw_code
n_violations_2yr,0.3781547007062246,has_open_violation
n_violations_3yr,0.37269476496549914,has_open_violation
n_violations_5yr,0.37157907646226784,has_open_violation
n_distinct_codes,0.36683110476063757,has_vacancy_kw_code
n_violations_total,0.3576537048173357,has_vacancy_kw_code
days_since_last_viol,0.31072333158419596,has_vacancy_kw_code
n_violations_recent,0.30653992414947573,has_open_violation
resolution_rate,0.28227532486360657,has_vacancy_kw_code
n_repeat_codes,0.27774535306877757,has_vacancy_kw_code
cs_span_days,0.2682341885290835,has_vacancy_kw_code
viol_accel_2v3,0.24462813231403957,has_open_violation
viol_trend_3v5,0.22062695746492672,has_open_violation
nbr_ovs_rate_tract,0.19935128836682908,has_vacancy_kw_code
nbr_ovs_rate_zip,0.17909421556530258,has_vacancy_kw_code
nbr_n_vacant_tract,0.17349477196929936,has_vacancy_kw_code
license_lapse_rate,0.16475026065723258,has_vacancy_kw_code
nbr_n_vacant_zip,0.15720432175227247,has_vacancy_kw_code
has_fire_safety_code,0.14013065366545202,has_rental_license
years_since_sale,0.13979664471077816,has_active_rental
is_poor_condition,0.13297444018773108,has_vacancy_kw_code
exterior_condition,0.10437699071227796,ovs_violation
log_livable_area,0.10101329445344351,has_rental_license
n_transfers_5yr,0.08164748996233334,has_rental_license
n_transfers_total,0.07977719488263639,has_rental_license
sheriff_sale_recent,0.07135233537460572,ovs_license
had_sheriff_sale,0.06669115624725189,ovs_license
n_deed_transfers,0.06561536048846439,has_vacancy_kw_code
n_sheriff_sales,0.06397826168997393,ovs_license
n_transfers_3yr,0.05079939377842642,has_active_rental
building_age,0.046397498823664896,has_open_violation
days_since_last_transfer,0.030997670690488487,has_active_rental
log_price_change,0.01676928678386286,ovs_violation
