model,tier,n_parcels,n_observed,precision,pct_total
LightGBM,Very Unlikely (0–0.2),515934,1757,0.0034054743436175944,0.9918069343093757
LightGBM,Unlikely (0.2–0.4),355,274,0.7718309859154929,0.0006824350821613392
LightGBM,Maybe (0.4–0.6),57,56,0.9824561403508771,0.00010957408361463756
LightGBM,Likely (0.6–0.8),128,127,0.9921875,0.0002460611000469054
LightGBM,Very Likely (0.8–1.0),3722,3720,0.999462654486835,0.007154995424801421
Logistic,Very Unlikely (0–0.2),515102,3255,0.006319136792324627,0.9902075371590708
Logistic,Unlikely (0.2–0.4),1049,364,0.34699714013346045,0.0020165476089781544
Logistic,Maybe (0.4–0.6),2350,1117,0.4753191489361702,0.004517528008673654
Logistic,Likely (0.6–0.8),1681,1188,0.7067221891731112,0.00323147429045975
Logistic,Very Likely (0.8–1.0),14,10,0.7142857142857143,2.6912932817630277e-05
Random Forest,Very Unlikely (0–0.2),513853,937,0.001823478699161044,0.9878065190812694
Random Forest,Unlikely (0.2–0.4),1120,206,0.18392857142857144,0.002153034625410422
Random Forest,Maybe (0.4–0.6),1812,1524,0.8410596026490066,0.0034833024475390047
Random Forest,Likely (0.6–0.8),830,737,0.8879518072289156,0.0015955524456166522
Random Forest,Very Likely (0.8–1.0),2581,2530,0.9802402169701666,0.004961591400164553
Vacancy Risk Score,Very Unlikely (0–0.2),514455,1748,0.0033977704561137514,0.9889637751924275
Vacancy Risk Score,Unlikely (0.2–0.4),1924,792,0.41164241164241167,0.0036986059100800467
Vacancy Risk Score,Maybe (0.4–0.6),537,345,0.6424581005586593,0.0010323032087905329
Vacancy Risk Score,Likely (0.6–0.8),823,653,0.7934386391251519,0.0015820959792078372
Vacancy Risk Score,Very Likely (0.8–1.0),2457,2396,0.9751729751729752,0.0047232197094941135
XGBoost,Very Unlikely (0–0.2),517154,3274,0.006330802816955878,0.9941522041691978
XGBoost,Unlikely (0.2–0.4),1043,691,0.6625119846596357,0.0020050134949134556
XGBoost,Maybe (0.4–0.6),62,53,0.8548387096774194,0.0001191858453352198
XGBoost,Likely (0.6–0.8),138,126,0.9130434782608695,0.0002652846234880699
XGBoost,Very Likely (0.8–1.0),1799,1790,0.9949972206781545,0.0034583118670654905
